Date,Open,Close,Change,sentiment,sentiment_score
2024-08-26,3862.493,3859.02,-0.09,1,0.8690605759620667
2024-08-22,3858.493,3835.48,-0.6,1,0.7073900699615479
2024-08-21,3876.741,3858.606,-0.47,1,0.7392574846744537
2024-08-09,3829.46,3848.317,0.49,0,0.9430602788925172
2024-08-08,3816.494,3829.514,0.34,1,0.8678785264492035
2024-08-06,3815.012,3809.298,-0.15,1,0.9280313551425934
2024-08-02,3807.811,3837.359,0.77,0,0.6864724357922872
2024-07-31,3763.942,3767.333,0.09,-1,0.9061744809150696
2024-07-26,3722.46,3722.46,0.0,0,0.8560318350791931
2024-07-25,3707.641,3722.531,0.4,1,0.9146500825881958
2024-07-23,3692.932,3720.089,0.73,0,0.8073488275210062
2024-07-19,3700.482,3688.311,-0.33,0,0.4987194538116455
2024-07-18,3694.032,3700.693,0.18,1,0.8936330080032349
2024-07-17,3693.089,3694.197,0.03,0,0.8541735212008158
2024-07-16,3683.821,3693.054,0.25,1,0.7420666217803955
2024-07-15,3706.161,3683.69,-0.61,-1,0.870002269744873
2024-07-11,3704.288,3715.434,0.3,1,0.7705660164356232
2024-07-10,3700.308,3704.383,0.11,1,0.9208509027957916
2024-07-09,3706.193,3700.273,-0.16,0,0.7029206156730652
2024-07-04,3734.335,3743.694,0.25,1,0.9471521377563475
2024-07-02,3751.59,3740.369,-0.3,1,0.9476745128631592
2024-06-28,3717.915,3730.225,0.33,0,0.8848342299461365
2024-06-27,3724.596,3717.904,-0.18,1,0.7713122963905334
2024-06-24,3735.062,3722.406,-0.34,0,0.6909673810005188
2024-06-13,3727.209,3718.656,-0.23,-1,0.87874636054039
2024-06-12,3712.979,3727.142,0.38,1,0.8625161647796631
2024-06-10,3702.395,3716.891,0.39,-1,0.8538394570350647
2024-06-05,3708.799,3701.027,-0.21,0,0.5418004989624023
2024-06-04,3706.034,3709.001,0.08,0,0.7517004609107971
2024-05-30,3695.333,3694.594,-0.02,1,0.9421564936637878
2024-05-28,3698.813,3692.904,-0.16,1,0.7686930298805237
2024-05-23,3751.758,3719.399,-0.87,1,0.8317189961671829
2024-05-21,3738.168,3757.33,0.51,1,0.7543002963066101
2024-05-20,3758.7,3738.14,-0.55,0,0.5455693602561951
2024-05-16,3745.557,3743.685,-0.05,1,0.8305078744888306
2024-05-09,3724.703,3744.173,0.52,-1,0.9414511919021606
2024-05-08,3793.341,3724.805,-1.84,0,0.5509300231933594
2024-05-07,3785.239,3794.726,0.25,1,0.7921743988990784
2024-05-03,3778.124,3796.346,0.48,0,0.9187775254249572
2024-04-30,3742.849,3766.578,0.63,0,0.5912794470787048
2024-04-25,3770.884,3788.31,0.46,1,0.859963908791542
2024-04-18,3730.962,3742.564,0.31,1,0.8010914325714111
2024-04-17,3734.954,3730.85,-0.11,1,0.8111448287963867
2024-04-16,3735.862,3735.115,-0.02,1,0.9060265421867371
2024-04-12,3745.927,3744.055,-0.05,1,0.7051507979631424
2024-04-11,3770.764,3746.04,-0.66,1,0.8084630966186523
2024-04-10,3745.059,3771.079,0.69,-1,0.7712423801422119
2024-04-09,3713.024,3745.233,0.86,-1,0.5183702707290649
2024-03-26,3785.087,3782.439,-0.07,0,0.8271986246109009
2024-03-22,3752.274,3753.025,0.02,1,0.7287007570266724
2024-03-21,3783.565,3752.42,-0.83,1,0.5060746669769287
2024-03-20,3780.407,3783.812,0.09,1,0.9020369648933411
2024-03-15,3789.896,3787.623,-0.06,1,0.7210679650306702
2024-03-14,3765.089,3789.722,0.65,-1,0.679896354675293
2024-03-13,3805.826,3765.162,-1.08,0,0.9291335940361024
2024-03-12,3833.342,3806.317,-0.71,0,0.8244908849398295
2024-03-11,3819.899,3833.7,0.36,1,0.7011765241622925
2024-03-06,3865.327,3825.541,-1.04,1,0.6866296827793121
2024-03-01,3816.766,3847.546,0.8,1,0.8649724721908569
2024-02-29,3798.238,3816.941,0.49,-1,0.896065870920817
2024-02-28,3773.658,3798.347,0.65,1,0.7233975827693939
2024-02-23,3771.404,3780.098,0.23,0,0.6618255376815796
2024-02-22,3758.846,3771.291,0.33,0,0.7115029493967692
2024-02-20,3742.12,3744.367,0.06,-1,0.6650684475898743
2024-02-19,3750.331,3742.098,-0.22,0,0.8385500907897949
2024-02-15,3765.537,3787.505,0.58,1,0.8056066185235977
2024-02-14,3778.695,3765.516,-0.35,1,0.8789380192756653
2024-02-12,3751.414,3767.615,0.43,0,0.6798019707202911
2024-02-09,3744.454,3751.582,0.19,0,0.8734656274318695
2024-02-08,3737.344,3744.458,0.19,-1,0.8826595544815063
2024-02-07,3743.872,3737.518,-0.17,1,0.7183258831501007
2024-02-06,3762.062,3743.718,-0.49,1,0.8375265598297119
2024-02-05,3774.621,3762.206,-0.33,1,0.9386655688285828
2024-02-02,3771.204,3774.601,0.09,1,0.7325060963630676
2024-02-01,3770.171,3771.302,0.03,1,0.8712531924247742
2024-01-31,3755.432,3770.136,0.39,0,0.6914231777191162
2024-01-26,3738.851,3756.129,0.46,1,0.6628055572509766
2024-01-25,3768.607,3739.068,-0.79,1,0.8370652496814728
2024-01-24,3775.879,3768.718,-0.19,1,0.9221028089523317
2024-01-23,3762.163,3775.756,0.36,1,0.8993577361106873
2024-01-18,3787.679,3801.364,0.36,1,0.6928387582302094
2024-01-16,3758.953,3786.977,0.74,1,0.8281227747599283
2024-01-12,3854.934,3836.519,-0.48,1,0.8952829837799072
2024-01-11,3813.022,3855.042,1.09,0,0.749727800488472
2024-01-10,3832.743,3813.295,-0.51,1,0.9311332106590272
2023-12-21,3691.931,3827.025,3.53,0,0.5292903184890747
2023-12-14,3665.223,3672.568,0.2,1,0.7531085908412933
2023-12-07,3677.627,3672.119,-0.15,1,0.955310583114624
2023-12-06,3670.765,3677.753,0.19,-1,0.9302567839622498
2023-11-29,3652.481,3664.942,0.34,-1,0.7787995338439941
2023-11-28,3629.298,3652.675,0.64,1,0.939077854156494
2023-11-23,3559.415,3580.18,0.58,1,0.6874435544013977
2023-11-21,3566.185,3578.71,0.35,0,0.9239659309387208
2023-11-16,3578.451,3568.459,-0.28,1,0.8202805817127228
2023-11-15,3569.244,3578.548,0.26,-1,0.9145771861076355
2023-11-09,3617.412,3615.604,-0.05,-1,0.7141933441162109
2023-11-07,3626.494,3609.17,-0.48,1,0.9181979894638062
2023-11-01,3618.276,3604.579,-0.38,0,0.6058028936386108
2023-10-31,3597.905,3618.167,0.56,0,0.8773946464061737
2023-10-25,3598.038,3590.14,-0.22,0,0.6702441573143005
2023-10-18,3596.552,3598.351,0.05,1,0.7556982636451721
2023-10-17,3635.824,3596.621,-1.09,1,0.7435874938964844
2023-10-16,3647.012,3636.104,-0.3,-1,0.8217500448226929
2023-10-12,3635.536,3637.719,0.06,-1,0.799192746480306
2023-10-10,3617.97,3610.749,-0.2,0,0.6759829521179199
2023-10-06,3683.867,3627.996,-1.54,1,0.8785464763641357
2023-09-29,3683.355,3691.846,0.23,0,0.8601890206336975
2023-09-28,3702.229,3683.443,-0.51,0,0.5177326798439026
2023-09-27,3661.103,3702.197,1.11,1,0.8115974068641663
2023-09-26,3687.33,3661.698,-0.7,-1,0.9409202635288239
2023-09-20,3696.298,3692.237,-0.11,1,0.8057002276182175
2023-09-19,3676.191,3696.15,0.54,1,0.7262899279594421
2023-09-14,3704.899,3695.291,-0.26,1,0.8545640408992767
2023-09-13,3765.126,3705.103,-1.62,0,0.7907723585764567
2023-09-12,3737.44,3766.062,0.76,0,0.7270042300224304
2023-09-04,3750.237,3738.647,-0.31,0,0.7331624627113342
2023-09-01,3742.201,3750.452,0.22,0,0.7690234780311584
2023-08-31,3724.527,3742.115,0.47,0,0.7082871049642563
2023-08-29,3727.257,3724.278,-0.08,1,0.7535680532455444
2023-08-25,3750.859,3742.625,-0.22,1,0.8134244978427887
2023-08-24,3751.238,3750.863,-0.01,1,0.9384981393814088
2023-08-22,3779.473,3755.811,-0.63,0,0.6885110338528951
2023-08-10,3833.095,3829.648,-0.09,1,0.7637704610824585
2023-08-09,3840.766,3833.1,-0.2,1,0.435770571231842
2023-08-04,3853.935,3869.024,0.39,0,0.9230032563209534
2023-08-03,3836.612,3853.955,0.45,-1,0.4489050209522247
2023-08-02,3829.151,3836.825,0.2,0,0.745366781949997
2023-07-31,3802.386,3790.635,-0.31,1,0.6316426694393158
2023-07-27,3780.164,3785.843,0.15,0,0.8086135983467102
2023-07-26,3763.52,3780.153,0.44,0,0.6241644024848938
2023-07-25,3758.939,3763.455,0.12,-1,0.9461718201637268
2023-07-24,3791.248,3758.921,-0.86,1,0.6353642344474792
2023-07-20,3769.339,3778.407,0.24,0,0.7643560171127319
2023-07-19,3787.684,3769.215,-0.49,1,0.8981038331985474
2023-07-18,3776.368,3787.731,0.3,0,0.9142972677946091
2023-07-13,3760.902,3741.819,-0.51,1,0.7613845467567444
2023-07-11,3773.5,3775.388,0.05,1,0.735085646311442
2023-07-05,3740.376,3752.007,0.31,1,0.8828879594802856
2023-06-27,3736.073,3739.064,0.08,0,0.8245603144168854
2023-06-26,3693.438,3736.029,1.14,1,0.8126427233219147
2023-06-15,3668.7,3698.286,0.8,1,0.5877317637205124
2023-06-14,3696.683,3668.8,-0.76,-1,0.9385443329811096
2023-06-13,3707.798,3697.076,-0.29,-1,0.8769759138425192
2023-06-12,3734.603,3707.906,-0.72,0,0.8896075487136841
2023-06-08,3760.335,3772.407,0.32,-1,0.8618483245372772
2023-06-06,3765.207,3760.319,-0.13,-1,0.5249464511871338
2023-06-05,3763.198,3765.081,0.05,0,0.5901142358779907
2023-06-01,3745.213,3747.087,0.05,1,0.708565870920817
2023-05-31,3716.062,3745.275,0.78,0,0.7514573534329733
2023-05-30,3694.256,3716.181,0.59,1,0.7530614535013834
2023-05-25,3639.234,3663.413,0.66,0,0.7571924924850464
2023-05-17,3655.203,3677.637,0.61,1,0.859775960445404
2023-05-16,3684.97,3655.362,-0.81,1,0.589205801486969
2023-05-12,3674.628,3685.315,0.29,0,0.6525584906339645
2023-05-11,3664.917,3674.839,0.27,1,0.7487779855728149
2023-05-10,3669.804,3665.039,-0.13,1,0.7923781871795654
2023-05-09,3682.871,3669.66,-0.36,1,0.7546297013759613
2023-05-04,3650.427,3672.462,0.6,1,0.7643387317657471
2023-05-03,3638.472,3650.519,0.33,0,0.7044493357340494
2023-05-02,3621.388,3638.489,0.47,0,0.8324078321456909
2023-04-27,3622.668,3621.22,-0.04,1,0.9019581377506256
2023-04-20,3546.364,3587.985,1.16,1,0.7380727231502533
2023-04-19,3555.786,3546.919,-0.25,0,0.7862610816955566
2023-04-18,3548.639,3555.751,0.2,1,0.7997123003005981
2023-04-13,3529.395,3536.114,0.19,1,0.7912135521570841
2023-04-11,3523.738,3531.861,0.23,1,0.8789954980214437
2023-04-06,3530.697,3523.65,-0.2,0,0.5149864554405212
2023-04-05,3532.091,3530.679,-0.04,1,0.6193262338638306
2023-04-03,3539.544,3532.127,-0.21,1,0.852251797914505
2023-03-30,3554.219,3539.706,-0.41,0,0.890821635723114
2023-03-29,3531.927,3554.319,0.63,0,0.6351835131645203
2023-03-21,3628.579,3578.48,-1.4,1,0.8294823595455715
2023-03-16,3634.986,3628.817,-0.17,1,0.8461147248744965
2023-03-15,3638.928,3634.93,-0.11,1,0.9071058034896852
2023-03-09,3633.39,3627.586,-0.16,1,0.7672980229059855
2023-03-07,3629.161,3627.71,-0.04,1,0.5597994923591614
2023-03-01,3639.025,3639.025,0.0,1,0.703976035118103
2023-02-28,3646.686,3639.044,-0.21,0,0.8642757534980774
2023-02-27,3649.287,3646.734,-0.07,1,0.9356675744056702
2023-02-23,3582.992,3592.692,0.27,0,0.6978137195110321
2023-02-21,3572.956,3595.608,0.63,1,0.899780809879303
2023-02-17,3618.28,3599.92,-0.51,0,0.7240584492683411
2023-02-16,3623.011,3618.307,-0.13,0,0.7723910609881083
2023-02-15,3624.436,3622.987,-0.04,0,0.928026795387268
2023-02-14,3600.639,3624.561,0.66,0,0.8429683446884155
2023-02-13,3595.663,3600.704,0.14,-1,0.8751086592674255
2023-02-09,3582.365,3595.669,0.37,1,0.929070383310318
2023-02-08,3582.598,3582.24,-0.01,0,0.9443451762199402
2023-02-03,3550.934,3565.195,0.4,1,0.8177614212036133
2023-02-02,3550.714,3551.069,0.01,0,0.7484762072563171
2023-02-01,3549.71,3550.775,0.03,0,0.8858442306518555
2023-01-27,3548.005,3563.685,0.44,1,0.855826199054718
2023-01-25,3556.038,3552.486,-0.1,0,0.7153627673784891
2023-01-24,3556.763,3556.052,-0.02,-1,0.7950092355410258
2023-01-20,3556.221,3524.151,-0.91,-1,0.9657027721405028
2023-01-19,3554.261,3556.395,0.06,0,0.6937707265218099
2023-01-18,3559.371,3554.395,-0.14,1,0.8708982765674591
2023-01-17,3580.186,3559.541,-0.58,0,0.8604739904403687
2023-01-12,3602.721,3581.59,-0.59,0,0.8020554184913635
2023-01-11,3607.142,3602.819,-0.12,1,0.6294161677360535
2023-01-10,3580.496,3607.189,0.74,0,0.90080589056015
2023-01-06,3600.543,3577.646,-0.64,1,0.9418553113937378
2023-01-05,3628.815,3600.729,-0.78,0,0.8049926161766052
2023-01-04,3498.063,3629.072,3.61,0,0.9293410778045654
2023-01-03,3553.42,3502.632,-1.45,1,0.8322176933288574
2022-12-22,3538.563,3524.114,-0.41,1,0.6003383696079254
2022-12-15,3507.812,3522.961,0.43,1,0.9053731560707092
2022-12-09,3580.477,3531.042,-1.4,1,0.6678131222724915
2022-11-30,3558.898,3553.213,-0.16,1,0.7177636623382568
2022-11-29,3554.331,3558.958,0.13,1,0.9076823194821676
2022-11-23,3555.544,3565.885,0.29,1,0.8452607989311218
2022-11-22,3572.323,3555.612,-0.47,1,0.5985441207885742
2022-11-21,3576.519,3572.232,-0.12,1,0.4955796897411346
2022-11-17,3631.557,3602.735,-0.8,-1,0.9461880326271056
2022-11-16,3560.216,3631.762,1.97,1,0.849230945110321
2022-11-08,3611.466,3621.97,0.29,1,0.7632142901420593
2022-11-04,3614.636,3613.552,-0.03,0,0.78989177942276
2022-11-03,3604.698,3614.457,0.27,1,0.8922218084335327
2022-11-01,3666.122,3643.532,-0.62,1,0.7017953395843506
2022-10-27,3637.053,3623.646,-0.37,1,0.8209066390991211
2022-10-26,3608.666,3637.035,0.78,0,0.7919262051582336
2022-10-25,3610.959,3608.794,-0.06,0,0.6198027729988098
2022-10-19,3594.85,3598.448,0.1,0,0.5222707390785217
2022-10-18,3589.532,3594.924,0.15,0,0.9157738089561462
2022-10-13,3625.05,3626.863,0.05,0,0.7960894703865051
2022-10-12,3623.696,3625.146,0.04,0,0.8141957819461823
2022-10-10,3632.087,3624.476,-0.21,0,0.5113125443458557
2022-10-06,3656.427,3653.869,-0.07,-1,0.6409635245800018
2022-10-05,3648.595,3656.273,0.21,0,0.753953238328298
2022-10-03,3632.667,3646.89,0.39,1,0.7893795967102051
2022-09-30,3630.88,3632.696,0.05,-1,0.6238154768943787
2022-09-29,3660.162,3630.753,-0.81,0,0.6475573480129242
2022-09-28,3679.011,3660.343,-0.51,1,0.5757272442181905
2022-09-27,3667.367,3679.14,0.32,0,0.6732830703258514
2022-09-23,3634.443,3661.17,0.73,0,0.7406657934188843
2022-09-20,3615.52,3632.228,0.46,1,0.6814218759536743
2022-09-19,3607.128,3615.444,0.23,1,0.6311038136482239
2022-09-16,3616.457,3607.079,-0.26,1,0.9349619746208192
2022-09-15,3666.604,3616.337,-1.39,0,0.5458844900131226
2022-09-14,3645.292,3667.296,0.6,1,0.7507191598415375
2022-09-13,3644.383,3645.477,0.03,0,0.6930027008056641
2022-09-06,3625.004,3621.383,-0.1,-1,0.7157892465591431
2022-09-01,3614.93,3606.995,-0.22,1,0.8059714833895365
2022-08-30,3593.335,3569.065,-0.68,1,0.5230458378791809
2022-08-25,3639.661,3629.86,-0.27,1,0.8842723965644836
2022-08-18,3655.565,3660.69,0.14,1,0.6761617660522461
2022-08-11,3673.225,3657.498,-0.43,0,0.7814717292785645
2022-08-10,3671.554,3673.391,0.05,-1,0.9502933621406556
2022-08-09,3648.404,3671.535,0.63,1,0.8468220233917236
2022-08-05,3697.211,3663.87,-0.91,0,0.6267858147621155
2022-08-02,3671.171,3674.478,0.09,1,0.7508536378542582
2022-08-01,3673.07,3671.234,-0.05,1,0.7908409039179484
2022-07-27,3667.995,3678.294,0.28,1,0.8662554323673248
2022-07-26,3682.74,3668.068,-0.4,1,0.4987176358699798
2022-07-22,3678.739,3689.068,0.28,1,0.7599838376045227
2022-07-21,3679.537,3678.801,-0.02,1,0.8494138717651367
2022-07-20,3686.071,3679.448,-0.18,0,0.7510811686515808
2022-07-19,3711.763,3685.961,-0.7,1,0.828122615814209
2022-07-11,3726.891,3726.146,-0.02,-1,0.914290189743042
2022-07-08,3728.507,3727.016,-0.04,1,0.6279512047767639
2022-07-07,3690.739,3728.396,1.01,-1,0.8572752773761749
2022-07-06,3672.322,3691.147,0.51,0,0.6615180194377899
2022-06-30,3642.567,3660.136,0.48,1,0.6248412132263184
2022-06-27,3654.324,3623.524,-0.85,0,0.7434367934862772
2022-06-23,3671.605,3663.18,-0.23,-1,0.886376162370046
2022-06-21,3766.036,3686.41,-2.16,1,0.8351514140764872
2022-06-16,3684.075,3705.567,0.58,1,0.59296053647995
2022-06-15,3655.877,3684.246,0.77,1,0.8051645755767822
2022-06-14,3674.745,3656.099,-0.51,1,0.8232477903366089
2022-06-09,3691.514,3745.829,1.45,-1,0.8645850419998169
2022-06-08,3718.382,3692.168,-0.71,1,0.6758451461791992
2022-06-02,3725.422,3764.193,1.03,0,0.864739179611206
2022-06-01,3699.399,3725.853,0.71,1,0.6265662908554077
2022-05-31,3704.849,3699.669,-0.14,1,0.7477248013019562
2022-05-30,3706.258,3704.776,-0.04,0,0.5032597780227661
2022-05-26,3705.374,3705.374,0.0,1,0.951194703578949
2022-05-24,3707.656,3669.856,-1.03,0,0.7573140263557434
2022-05-19,3749.618,3735.796,-0.37,1,0.7751651406288147
2022-05-18,3735.599,3749.848,0.38,1,0.7614421546459198
2022-05-16,3711.147,3736.179,0.67,1,0.8884690999984741
2022-05-13,3709.723,3711.207,0.04,0,0.7886807521184286
2022-05-12,3722.394,3709.781,-0.34,0,0.7653658092021942
2022-05-11,3714.936,3722.381,0.2,1,0.8014328479766846
2022-05-10,3709.462,3715.035,0.15,1,0.8554925918579102
2022-05-05,3807.613,3795.089,-0.33,1,0.9273661971092224
2022-05-04,3700.498,3807.488,2.81,1,0.7949549555778503
2022-05-03,3694.502,3703.39,0.24,0,0.8399914801120758
2022-04-29,3599.949,3712.053,3.02,1,0.774643138051033
2022-04-27,3601.347,3610.735,0.26,0,0.6974388062953949
2022-04-26,3590.526,3601.33,0.3,1,0.8533858358860016
2022-04-22,3560.239,3590.036,0.83,1,0.4992150962352752
2022-04-21,3553.087,3560.564,0.21,0,0.813971072435379
2022-04-20,3589.519,3553.276,-1.02,0,0.8067702054977417
2022-04-14,3640.719,3651.674,0.3,0,0.74498650431633
2022-04-12,3604.046,3638.246,0.94,1,0.8538820147514343
2022-04-07,3610.121,3633.74,0.65,0,0.8272770047187805
2022-04-06,3607.906,3610.433,0.07,0,0.5889729261398315
2022-04-05,3605.515,3608.041,0.07,1,0.9092825353145599
2022-04-04,3634.147,3605.662,-0.79,1,0.8447502255439758
2022-04-01,3620.753,3634.2,0.37,1,0.8442194660504659
2022-03-30,3643.829,3620.657,-0.64,0,0.671830415725708
2022-03-29,3657.777,3643.93,-0.38,0,0.5115097761154175
2022-03-24,3641.423,3634.88,-0.18,0,0.8426603376865387
2022-03-22,3650.373,3639.455,-0.3,1,0.7009560664494833
2022-03-18,3667.635,3673.513,0.16,1,0.6996164917945862
2022-03-16,3670.633,3660.749,-0.27,1,0.6637489199638367
2022-03-15,3662.859,3670.567,0.21,0,0.6910824775695801
2022-03-14,3686.801,3662.992,-0.65,1,0.7585466802120209
2022-03-10,3741.513,3723.64,-0.48,1,0.8060298562049866
2022-03-09,3721.075,3741.654,0.55,0,0.7387853741645813
2022-03-08,3726.571,3721.361,-0.14,1,0.659832751750946
2022-03-04,3743.574,3735.729,-0.21,1,0.7144613862037659
2022-03-03,3660.661,3743.773,2.22,0,0.6601935625076294
2022-03-02,3660.281,3662.478,0.06,0,0.8210182388623556
2022-03-01,3674.812,3660.171,-0.4,1,0.8776934742927551
2022-02-25,3758.643,3762.405,0.1,1,0.8334746956825256
2022-02-24,3763.169,3758.659,-0.12,1,0.8232368230819702
2022-02-23,3775.71,3763.291,-0.33,0,0.6090597361326218
2022-02-22,3779.696,3775.92,-0.1,1,0.9284252524375916
2022-02-21,3753.95,3779.652,0.68,1,0.7880426049232483
2022-02-18,3784.155,3754.122,-0.8,1,0.6835772395133972
2022-02-17,3731.493,3784.476,1.4,0,0.8025167187054952
2022-02-16,3685.916,3732.195,1.24,0,0.8355796635150909
2022-02-15,3692.712,3686.445,-0.17,0,0.725298285484314
2022-02-09,3715.21,3690.85,-0.66,0,0.7898340821266174
2022-02-04,3729.674,3765.066,0.94,1,0.7789912422498068
2022-02-03,3763.289,3730.091,-0.89,1,0.8792518973350525
2022-02-01,3755.418,3771.257,0.42,1,0.7578409016132355
2022-01-31,3781.405,3755.492,-0.69,0,0.757226824760437
2022-01-27,3772.812,3791.009,0.48,0,0.7682746052742004
2022-01-26,3763.158,3772.968,0.26,-1,0.813085675239563
2022-01-25,3751.75,3763.039,0.3,1,0.7630408108234406
2022-01-24,3774.576,3751.691,-0.61,1,0.8594518303871155
2022-01-20,3793.413,3762.933,-0.81,1,0.9308086633682252
2022-01-19,3823.227,3793.637,-0.78,1,0.7107174396514893
2022-01-18,3817.761,3823.496,0.15,1,0.9376872181892394
2022-01-17,3805.558,3817.775,0.32,1,0.9308086633682252
2022-01-14,3781.631,3805.606,0.63,0,0.8951783329248428
2022-01-13,3786.082,3781.922,-0.11,0,0.7365730702877045
2022-01-12,3792.339,3785.903,-0.17,0,0.8339397609233856
2022-01-11,3817.947,3792.537,-0.67,0,0.6996140678723654
2022-01-10,3858.376,3818.284,-1.05,-1,0.6958117882410685
2022-01-06,3839.27,3899.716,1.55,1,0.596636176109314
2021-12-30,3881.12,3944.629,1.61,1,0.8806789517402649
2021-12-29,3874.237,3882.001,0.2,1,0.6440217047929764
2021-12-23,3795.683,3801.004,0.14,1,0.904818832874298
2021-12-20,3797.305,3806.059,0.23,1,0.9103599190711976
2021-12-16,3758.364,3788.292,0.79,0,0.7692240476608276
2021-12-15,3772.932,3758.649,-0.38,1,0.651639848947525
2021-12-09,3760.249,3736.336,-0.64,0,0.7191510647535324
2021-12-06,3774.024,3749.651,-0.65,1,0.7771496176719666
2021-12-03,3754.959,3774.207,0.51,1,0.6655330061912537
2021-12-02,3762.162,3755.027,-0.19,1,0.6435905694961548
2021-12-01,3756.683,3762.326,0.15,1,0.8353144526481628
2021-11-30,3758.709,3756.831,-0.05,1,0.8249636590480804
2021-11-26,3812.656,3813.037,0.01,1,0.7841181755065918
2021-11-25,3827.984,3812.733,-0.4,0,0.6335262954235077
2021-11-24,3827.969,3827.969,0.0,1,0.8532496690750122
2021-11-22,3829.184,3825.741,-0.09,0,0.8935320377349854
2021-11-18,3878.022,3823.348,-1.43,1,0.8088968098163605
2021-11-16,3861.877,3926.268,1.64,1,0.7813383340835571
2021-11-10,3833.487,3872.6,1.01,0,0.748625636100769
2021-11-09,3789.364,3833.837,1.16,0,0.9197425842285156
2021-11-05,3819.733,3813.25,-0.17,1,0.9331055879592896
2021-11-04,3827.666,3819.645,-0.21,0,0.6906387209892273
2021-11-01,3844.645,3822.855,-0.57,1,0.7210127711296082
2021-10-28,3878.661,3862.439,-0.42,-1,0.7560781538486481
2021-10-27,3891.473,3878.673,-0.33,0,0.7949535846710205
2021-10-26,3855.514,3891.707,0.93,1,0.7686203320821127
2021-10-25,3861.249,3855.851,-0.14,1,0.9290722012519836
2021-10-22,3859.567,3861.111,0.04,0,0.8107767701148987
2021-10-21,3882.596,3859.439,-0.6,1,0.6992771327495575
2021-10-19,3903.099,3893.754,-0.24,-1,0.9392102360725404
2021-10-15,3942.944,3903.518,-1.01,0,0.6687057614326477
2021-10-14,3953.161,3943.303,-0.25,0,0.601628303527832
2021-10-13,3953.326,3953.326,0.0,0,0.7135010957717896
2021-10-11,3960.642,3958.267,-0.06,1,0.7937273343404134
2021-10-08,3894.333,3960.473,1.67,1,0.7952293753623962
2021-10-07,3904.512,3895.552,-0.23,1,0.8074913024902344
2021-10-06,3892.268,3904.372,0.31,0,0.9089434146881104
2021-10-05,3889.042,3892.156,0.08,0,0.7675349473953247
2021-10-01,3875.731,3867.223,-0.22,1,0.767713189125061
2021-09-30,3884.57,3875.656,-0.23,1,0.8606806546449661
2021-09-28,3891.43,3880.951,-0.27,0,0.6975381076335907
2021-09-27,3889.258,3891.593,0.06,1,0.7271952033042908
2021-09-24,3881.055,3889.222,0.21,0,0.8903867900371552
